SalesID,SalePrice,MachineID,ModelID,datasource,auctioneerID,YearMade,MachineHoursCurrentMeter,UsageBand,fiModelDesc,fiBaseModel,fiSecondaryDesc,fiModelSeries,fiModelDescriptor,ProductSize,fiProductClassDesc,state,ProductGroup,ProductGroupDesc,Drive_System,Enclosure,Forks,Pad_Type,Ride_Control,Stick,Transmission,Turbocharged,Blade_Extension,Blade_Width,Enclosure_Type,Engine_Horsepower,Hydraulics,Pushblock,Ripper,Scarifier,Tip_Control,Tire_Size,Coupler,Coupler_System,Grouser_Tracks,Hydraulics_Flow,Track_Type,Undercarriage_Pad_Width,Stick_Length,Thumb,Pattern_Changer,Grouser_Type,Backhoe_Mounting,Blade_Type,Travel_Controls,Differential_Type,Steering_Controls,saleYear,saleMonth,saleDay,saleDayOfWeek,saleDayOfYear
1165000,27000,733687,7057,121,3,1995,4368,Medium,312,312,,,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",New York,TEX,Track Excavators,,EROPS w AC,,,,,,,,,,,Standard,,,,,,Manual,,,,Steel,24 inch,"9' 10""",Manual,None or Unspecified,Triple,,,,,,2004,1,5,0,5
1166933,10750,1035166,8861,121,3,2002,603,Low,803,803,,,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",Georgia,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,2004,1,9,4,9
1162057,35000,1060038,4763,121,3,1999,479,Low,650G,650,G,,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Alabama,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,,2004,1,16,4,16
1152803,30000,1000789,12263,121,3,1998,4302,Medium,SE280LC-2,SE280,LC,-2,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Texas,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,Hydraulic,None or Unspecified,Double,,,,,,2004,1,19,0,19
1156368,19000,1060567,3822,121,3,1990,0,,950E,950,E,,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,WL,Wheel Loader,,OROPS,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional,2004,1,20,1,20
1140049,33000,1055591,1956,121,3,1995,5468,Medium,892ELC,892,E,,LC,Large / Medium,"Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",Pennsylvania,TEX,Track Excavators,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,24 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,,2004,1,20,1,20
1152749,10000,1005668,4665,121,3,1989,6119,Low,450G,450,G,,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Illinois,TTT,Track Type Tractors,,OROPS,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,,,2004,1,27,1,27
1148523,44000,1018259,4806,121,3,1998,6988,High,750C,750,C,,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Florida,TTT,Track Type Tractors,,OROPS,,,,,Hydrostatic,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,,2004,1,29,3,29
1150552,12500,183447,7009,121,3,2003,329,Medium,226,226,,,,,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,California,SSL,Skid Steer Loaders,,OROPS,None or Unspecified,,,,,,,,,,Standard,,,,,,Manual,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,,2004,1,29,3,29
1140396,23000,380903,3538,121,3,1998,3075,Medium,416C,416,C,,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,BL,Backhoe Loaders,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,2004,1,29,3,29
